"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 07 15:30:04 GMT 2024","Sat Sep 07 15:30:04 GMT 2024","5","","Tests - User controller","","UserControllerTests","GetAllUsersTest","GetAllUsersTest",""
"passed","Sat Sep 07 15:30:05 GMT 2024","Sat Sep 07 15:30:05 GMT 2024","7","","Tests - ZipCode controller","","ZipCodeControllerTests","ExpandAvailibleZipCodesTest","ExpandAvailibleZipCodesTest",""
"passed","Sat Sep 07 15:30:04 GMT 2024","Sat Sep 07 15:30:04 GMT 2024","21","","Tests - User controller","","UserControllerTests","AddUserWithIncorrectZipCodeTest","AddUserWithIncorrectZipCodeTest",""
"passed","Sat Sep 07 15:30:04 GMT 2024","Sat Sep 07 15:30:04 GMT 2024","10","","Tests - User controller","","UserControllerTests","DeleteByMissedRequiredFieldTest","DeleteByMissedRequiredFieldTest",""
"passed","Sat Sep 07 15:30:04 GMT 2024","Sat Sep 07 15:30:04 GMT 2024","10","","Tests - User controller","","UserControllerTests","UpdateUserByIncorrectZipCodeTest","UpdateUserByIncorrectZipCodeTest(Put)",""
"passed","Sat Sep 07 15:30:04 GMT 2024","Sat Sep 07 15:30:04 GMT 2024","594","","Tests - User controller","","UserControllerTests","AddCorrectUserTest","AddCorrectUserTest",""
"passed","Sat Sep 07 15:30:05 GMT 2024","Sat Sep 07 15:30:05 GMT 2024","8","","Tests - ZipCode controller","","ZipCodeControllerTests","ExpandAvailibleZipCodesByDuplicationsTest","ExpandAvailibleZipCodesByDuplicationsTest",""
"passed","Sat Sep 07 15:30:04 GMT 2024","Sat Sep 07 15:30:04 GMT 2024","24","","Tests - User controller","","UserControllerTests","GetAllUsersByYoungerThanParameterTest","GetAllUsersByYoungerThanParameterTest",""
"passed","Sat Sep 07 15:30:05 GMT 2024","Sat Sep 07 15:30:05 GMT 2024","11","","Tests - User controller","","UserControllerTests","DeleteUser","DeleteUser",""
"passed","Sat Sep 07 15:30:04 GMT 2024","Sat Sep 07 15:30:04 GMT 2024","12","","Tests - User controller","","UserControllerTests","UploadFileWithIncorrectZipCodeForUserTest","UploadFileWithIncorrectZipCodeForUserTest",""
"passed","Sat Sep 07 15:30:04 GMT 2024","Sat Sep 07 15:30:04 GMT 2024","28","","Tests - User controller","","UserControllerTests","UpdateUserTest","UpdateUserTest(Put)",""
"passed","Sat Sep 07 15:30:04 GMT 2024","Sat Sep 07 15:30:04 GMT 2024","69","","Tests - User controller","","UserControllerTests","UploadFileWithMissedRequiredFieldTest","UploadFileWithMissedRequiredFieldTest",""
"passed","Sat Sep 07 15:30:04 GMT 2024","Sat Sep 07 15:30:05 GMT 2024","10","","Tests - User controller","","UserControllerTests","DeleteByRequiredFieldsOnlyTest","DeleteByRequiredFieldsOnlyTest",""
"passed","Sat Sep 07 15:30:04 GMT 2024","Sat Sep 07 15:30:04 GMT 2024","5","","Tests - User controller","","UserControllerTests","GetAllUsersBySexParameterTest","GetAllUsersBySexParameterTest",""
"passed","Sat Sep 07 15:30:04 GMT 2024","Sat Sep 07 15:30:04 GMT 2024","11","","Tests - User controller","","UserControllerTests","UpdateUserByIncorrectRequestBodyTest","UpdateUserByIncorrectRequestBodyTest(Patch)",""
"passed","Sat Sep 07 15:30:04 GMT 2024","Sat Sep 07 15:30:04 GMT 2024","9","","Tests - User controller","","UserControllerTests","UpdateUserByIncorrectRequestBodyTest","UpdateUserByIncorrectRequestBodyTest(Put)",""
"passed","Sat Sep 07 15:30:05 GMT 2024","Sat Sep 07 15:30:05 GMT 2024","4","","Tests - ZipCode controller","","ZipCodeControllerTests","GetAvailibleZipCodesTest","GetAvailibleZipCodesTest",""
"passed","Sat Sep 07 15:30:04 GMT 2024","Sat Sep 07 15:30:04 GMT 2024","11","","Tests - User controller","","UserControllerTests","UpdateUserTest","UpdateUserTest(Patch)",""
"passed","Sat Sep 07 15:30:04 GMT 2024","Sat Sep 07 15:30:04 GMT 2024","18","","Tests - User controller","","UserControllerTests","AddUserWithIncorrectNameAndSexTest","AddUserWithIncorrectNameAndSexTest",""
"passed","Sat Sep 07 15:30:05 GMT 2024","Sat Sep 07 15:30:05 GMT 2024","13","","Tests - User controller","","UserControllerTests","UploadFileWithCorrectUsersDataTest","UploadFileWithCorrectUsersDataTest",""
"passed","Sat Sep 07 15:30:04 GMT 2024","Sat Sep 07 15:30:04 GMT 2024","8","","Tests - User controller","","UserControllerTests","UpdateUserByIncorrectZipCodeTest","UpdateUserByIncorrectZipCodeTest(Patch)",""
"passed","Sat Sep 07 15:30:04 GMT 2024","Sat Sep 07 15:30:04 GMT 2024","4","","Tests - User controller","","UserControllerTests","GetAllUsersByOlderThanParameterTest","GetAllUsersByOlderThanParameterTest",""
